pod                         , start_time          , ready_time          , latency_sec
benchmark-pod-containerd-46 , 2025-06-13T19:36:49Z, 2025-06-13T19:36:50Z,           1
benchmark-pod-containerd-47 , 2025-06-13T19:36:52Z, 2025-06-13T19:36:53Z,           1
benchmark-pod-containerd-48 , 2025-06-13T19:36:55Z, 2025-06-13T19:36:56Z,           1
benchmark-pod-containerd-49 , 2025-06-13T19:36:58Z, 2025-06-13T19:36:59Z,           1
benchmark-pod-containerd-50 , 2025-06-13T19:37:01Z, 2025-06-13T19:37:02Z,           1
benchmark-pod-containerd-51 , 2025-06-13T19:37:04Z, 2025-06-13T19:37:05Z,           1
benchmark-pod-containerd-52 , 2025-06-13T19:37:07Z, 2025-06-13T19:37:08Z,           1
benchmark-pod-containerd-53 , 2025-06-13T19:37:10Z, 2025-06-13T19:37:11Z,           1
benchmark-pod-containerd-54 , 2025-06-13T19:37:13Z, 2025-06-13T19:37:14Z,           1
benchmark-pod-containerd-55 , 2025-06-13T19:37:16Z, 2025-06-13T19:37:17Z,           1
benchmark-pod-containerd-56 , 2025-06-13T19:37:19Z, 2025-06-13T19:37:20Z,           1
benchmark-pod-containerd-57 , 2025-06-13T19:37:22Z, 2025-06-13T19:37:23Z,           1
benchmark-pod-containerd-58 , 2025-06-13T19:37:25Z, 2025-06-13T19:37:26Z,           1
benchmark-pod-containerd-59 , 2025-06-13T19:37:29Z, 2025-06-13T19:37:29Z,           0
benchmark-pod-containerd-60 , 2025-06-13T19:37:32Z, 2025-06-13T19:37:32Z,           0
benchmark-pod-containerd-61 , 2025-06-13T19:37:35Z, 2025-06-13T19:37:35Z,           0
benchmark-pod-containerd-62 , 2025-06-13T19:37:38Z, 2025-06-13T19:37:38Z,           0
benchmark-pod-containerd-63 , 2025-06-13T19:37:41Z, 2025-06-13T19:37:41Z,           0
benchmark-pod-containerd-64 , 2025-06-13T19:37:44Z, 2025-06-13T19:37:44Z,           0
benchmark-pod-containerd-65 , 2025-06-13T19:37:47Z, 2025-06-13T19:37:47Z,           0
benchmark-pod-containerd-66 , 2025-06-13T19:37:50Z, 2025-06-13T19:37:50Z,           0
benchmark-pod-containerd-67 , 2025-06-13T19:37:53Z, 2025-06-13T19:37:53Z,           0
benchmark-pod-containerd-68 , 2025-06-13T19:37:56Z, 2025-06-13T19:37:56Z,           0
benchmark-pod-containerd-69 , 2025-06-13T19:37:59Z, 2025-06-13T19:37:59Z,           0
benchmark-pod-containerd-70 , 2025-06-13T19:38:02Z, 2025-06-13T19:38:02Z,           0
benchmark-pod-containerd-71 , 2025-06-13T19:38:05Z, 2025-06-13T19:38:05Z,           0
benchmark-pod-containerd-72 , 2025-06-13T19:38:08Z, 2025-06-13T19:38:08Z,           0
benchmark-pod-containerd-73 , 2025-06-13T19:38:11Z, 2025-06-13T19:38:11Z,           0
benchmark-pod-containerd-74 , 2025-06-13T19:38:14Z, 2025-06-13T19:38:14Z,           0
benchmark-pod-containerd-75 , 2025-06-13T19:38:17Z, 2025-06-13T19:38:17Z,           0
benchmark-pod-containerd-76 , 2025-06-13T19:38:20Z, 2025-06-13T19:38:20Z,           0
benchmark-pod-containerd-77 , 2025-06-13T19:38:23Z, 2025-06-13T19:38:23Z,           0
benchmark-pod-containerd-78 , 2025-06-13T19:38:26Z, 2025-06-13T19:38:26Z,           0
benchmark-pod-containerd-79 , 2025-06-13T19:38:29Z, 2025-06-13T19:38:29Z,           0
benchmark-pod-containerd-80 , 2025-06-13T19:38:32Z, 2025-06-13T19:38:32Z,           0
benchmark-pod-containerd-81 , 2025-06-13T19:38:35Z, 2025-06-13T19:38:35Z,           0
benchmark-pod-containerd-82 , 2025-06-13T19:38:38Z, 2025-06-13T19:38:38Z,           0
benchmark-pod-containerd-83 , 2025-06-13T19:38:41Z, 2025-06-13T19:38:41Z,           0
benchmark-pod-containerd-84 , 2025-06-13T19:38:44Z, 2025-06-13T19:38:44Z,           0
benchmark-pod-containerd-85 , 2025-06-13T19:38:47Z, 2025-06-13T19:38:47Z,           0
benchmark-pod-containerd-86 , 2025-06-13T19:38:50Z, 2025-06-13T19:38:50Z,           0
benchmark-pod-containerd-87 , 2025-06-13T19:38:53Z, 2025-06-13T19:38:53Z,           0
benchmark-pod-containerd-88 , 2025-06-13T19:38:56Z, 2025-06-13T19:38:56Z,           0
benchmark-pod-containerd-89 , 2025-06-13T19:38:59Z, 2025-06-13T19:39:00Z,           1
benchmark-pod-containerd-90 , 2025-06-13T19:39:02Z, 2025-06-13T19:39:03Z,           1
benchmark-pod-containerd-91 , 2025-06-13T19:39:05Z, 2025-06-13T19:39:06Z,           1
benchmark-pod-containerd-92 , 2025-06-13T19:39:08Z, 2025-06-13T19:39:09Z,           1
benchmark-pod-containerd-93 , 2025-06-13T19:39:11Z, 2025-06-13T19:39:12Z,           1
benchmark-pod-containerd-94 , 2025-06-13T19:39:14Z, 2025-06-13T19:39:15Z,           1
benchmark-pod-containerd-95 , 2025-06-13T19:39:17Z, 2025-06-13T19:39:18Z,           1
benchmark-pod-containerd-96 , 2025-06-13T19:39:20Z, 2025-06-13T19:39:21Z,           1
benchmark-pod-containerd-97 , 2025-06-13T19:39:23Z, 2025-06-13T19:39:24Z,           1
benchmark-pod-containerd-98 , 2025-06-13T19:39:26Z, 2025-06-13T19:39:27Z,           1
benchmark-pod-containerd-99 , 2025-06-13T19:39:29Z, 2025-06-13T19:39:30Z,           1
benchmark-pod-containerd-100, 2025-06-13T19:39:32Z, 2025-06-13T19:39:33Z,           1
